Temperature;PM2.5;PM10
12.5;3.1;5.2
12.5;3;4.6
12.4;3;4.6
12.5;5.1;5.7
12.4;5.1;5.7
12.4;5.1;5.7
12.4;5.1;5.6
12.4;4.7;5.2
12.4;4.6;5.1
12.3;4.6;5.1
12.3;4.5;5
12.3;4.5;5
12.4;4.5;5
12.3;4.5;5
12.3;4.2;4.6
12.3;4.3;4.8
12.3;4.3;4.8
12.3;3.4;4.1
12.2;3.4;4.1
12.1;3.4;4.1
12.2;3.4;4.1
12.1;3.4;4.1
12.2;3.5;4.2
12.1;3.5;4.2
12.1;3.5;4.2
12.1;3.1;3.8
12;3.1;4.2
11.9;3.1;4.3
12;3;4.2
12;3;4.2
12;3;4.1
12;3;4.1
12;3;4.2
12;0.9;3.2
12;0.9;3.2
12.1;7.8;21.1
12.1;7.8;21
11.9;7.7;21
11.9;7.7;21
11.8;8.1;21.2
11.8;8.1;21.2
11.9;8.1;21.2
11.9;8.1;21.1
11.9;8.1;21.2
11.9;8.1;21.1
11.9;7.9;21
12;8;21.1
11.9;8;20.9
11.9;8;20.9
11.9;7.9;20.9
11.9;7.9;20.8
11.9;7.9;20.8
11.9;7.8;20.8
11.8;7.8;20.7
11.7;7.8;20.6
11.8;7.8;20.7
11.8;7.8;20.2
11.7;7.8;20.3
11.6;7.8;20.3
11.5;7.7;20.2
11.4;7.8;20.3
11.4;7.8;20.3
11.2;16.4;32.6
11.2;16.3;32.5
11.1;16.3;32.5
11;16.3;32.5
11;9.4;14.5
11;9.4;14.5
11;9.5;14.5
11;9.5;14.5
10.9;9.5;14.6
10.8;9.5;14.6
10.7;9.6;18.8
10.7;9.6;18.8
10.7;9.6;18.9
10.8;9.6;18.9
10.8;9.6;19
10.7;9.6;18.9
10.7;9.6;18.9
10.7;9.6;18.9
10.7;9.6;18.9
10.7;9.6;18.9
10.7;9.6;18.9
10.7;9.6;18.9
10.7;9.6;18.9
10.7;9.7;19.1
10.6;9.7;19.1
10.6;9.7;19
10.6;21.2;33.7
10.6;21.2;33.8
10.5;21.2;33.9
10.6;21.3;33.9
10.6;12.7;21.6
10.5;12.7;21.6
10.5;12.7;21.6
10.4;12.7;21.7
10.5;12.7;21.7
10.4;12.7;21.7
10.4;12.7;21.7
10.3;12.7;21.7
10.2;12.4;21.5
10.2;12.6;21.6
10.2;12.5;17.4
10.2;12.5;17.6
10.1;12.5;17.5
10.1;12.5;17.5
10.1;12.5;17.4
10.3;12.5;17.3
10.1;12.5;17.4
10.1;12.5;17.3
10.1;12.5;17.3
10.1;12.5;17.5
10;12.5;17.5
10;12.5;17.4
9.9;12.6;17.5
10;14.7;18.4
10.1;14.7;18.5
10;14.7;18.5
10;3.2;3.7
10;3.1;3.6
10.1;3.1;3.6
10.1;3.1;3.5
9.9;3.1;3.5
10;3.1;3.5
10;3.1;3.5
10;3;3.4
10;3.1;3.4
10.1;3.1;3.4
10.1;3.1;3.4
9.9;3.1;3.4
9.9;3;3.4
9.8;2.7;3.2
9.8;2.8;3.2
9.8;2.8;3.1
9.8;2.8;3.1
9.7;2.8;3.1
9.8;2.8;3.1
9.7;2.8;3.2
9.7;2.8;3.2
9.6;2.9;3.3
9.5;3.1;3.5
9.4;3;3.4
9.4;3.1;3.5
9.5;3.1;3.7
9.4;3.1;3.7
9.3;1;2.7
9.2;1.1;2.7
9.2;1.1;2.8
9.2;1.2;2.9
9.2;1.3;3
9.1;1.4;3.1
9;1.6;3.3
9.3;1.8;3.4
9.1;1.9;3.5
9;2.2;3.7
9;2.4;3.8
9;2.6;3.9
9;2.8;4.1
8.9;3.2;4.3
8.8;3.4;4.4
8.7;3.8;4.6
8.7;4;4.8
8.6;4.4;4.9
8.5;4.5;5
8.5;4.8;5.3
8.5;5.1;5.7
8.4;5.5;6.1
8.4;5.8;6.4
8.5;5.9;6.5
8.3;6.1;6.7
8.4;6.4;7
8.4;9.1;9.9
8.4;9.4;10.2
8.3;9.6;10.4
8.1;9.9;10.7
8.1;10.2;11
8;10.3;11.1
7.9;10.8;11.7
7.9;11.1;12
7.9;11.6;12.5
7.8;11.6;12.5
7.8;12.1;13
7.8;12.6;13.6
7.9;13.1;14.1
7.8;13.4;14.4
7.6;13.4;14.4
7.6;13.7;14.7
7.5;13.8;14.8
7.4;14;15
7.3;14.3;15.3
7.3;14.4;15.4
7.3;14.4;15.4
7.3;14.7;15.8
7.3;14.8;15.9
7.2;14.9;16
7.3;15.2;16.3
7.3;15.2;16.3
7.2;15.2;16.3
7.1;15.2;16.3
7.1;15.5;16.6
7;15.6;16.7
7;19.7;21
6.9;17.4;18.6
6.9;17.3;18.5
6.9;17.3;18.5
6.9;17.1;18.3
6.9;17.1;18.3
7.2;17.3;18.5
7.1;22.6;27.7
6.9;24.1;36
